name,phone,address,detail_url,lat,lng
허그맘·허그인 강남본점 (직영점),02-568-6255,서울 강남구 논현동 56-10인의빌딩 3층,https://www.hugmom.co.kr/gangnam,,
허그맘·허그인 강동센터 (직영점),02-482-0000,서울 강동구 올림픽로 572  하늘채 아파트 상가 2차 2층서울 강동구 성내동 595  하늘채 아파트 상가 2차 2층,https://www.hugmom.co.kr/gangdong,,
허그맘·허그인 강서센터,02-2088-3515,서울 강서구 공항대로 247 퀸즈파크나인 C동 9층서울특별시 강서구 마곡동 797-1 퀸즈파크나인 C동 9층,https://www.hugmom.co.kr/gangseo,,
허그맘·허그인 강원춘천센터,033-264-0009,강원 춘천시 석사동 904-14층 허그맘허그인 강원춘천점,https://www.hugmom.co.kr/chuncheon,,
허그맘·허그인 경기광주센터,031-8068-8275,"경기 광주시 중앙로 69-6 (역동, 더대광빌딩 2층)",https://www.hugmom.co.kr/gyeonggigwangju,,
허그맘·허그인 고양덕양센터,031-365-3366,경기 고양시 덕양구 원흥동 633-7 골든메디타워 2층경기도 고양시 덕양구 원흥3로 6-17,https://www.hugmom.co.kr/deokyangsamsong,,
허그맘·허그인 과천센터,02-6956-7153,"경기 과천시 별양로 28 (원문동, 래미안 슈르)상가동 3011B호~3014호 (슈르상가 A동3층)",https://www.hugmom.co.kr/gwacheon,,
허그맘·허그인 관악센터,02-877-3007,서울 관악구 은천로 153 (봉천동)2층,https://www.hugmom.co.kr/gwanak,,
허그맘·허그인 광주광산수완센터,062-714-3450,광주 광산구 임방울대로 348 남궁빌딩 6층광주 광산구 수완동 1080 남궁빌딩 6층,https://www.hugmom.co.kr/gwangjusuwan,,
허그맘·허그인 광주무등센터,062-654-7799,"광주 남구 봉선중앙로 139 (주월동, 한일메디컬센터) 5층광주광역시 남구 주월동 1253-2, 5층",https://www.hugmom.co.kr/gwangjumudeung,,
