name,phone,address,detail_url,lat,lng,isopen,region,description
허그맘·허그인 강남본점 (직영점),02-568-6255,서울 강남구 논현동 56-10인의빌딩 3층,https://www.hugmom.co.kr/gangnam,37.5130334,127.025933,0,서울,
허그맘·허그인 강동센터 (직영점),02-482-0000,서울 강동구 올림픽로 572  하늘채 아파트 상가 2차 2층서울 강동구 성내동 595  하늘채 아파트 상가 2차 2층,https://www.hugmom.co.kr/gangdong,37.53255275,127.1218186,0,서울,
허그맘·허그인 강서센터,02-2088-3515,서울 강서구 공항대로 247 퀸즈파크나인 C동 9층서울특별시 강서구 마곡동 797-1 퀸즈파크나인 C동 9층,https://www.hugmom.co.kr/gangseo,37.55931354,126.8352392,1,서울,"도시 개발 지역으로 유치원 및 학교가 다수 분포, 다양한 기관 및 병원과 협력하여 ADHD 및 정서 치료 진행."
허그맘·허그인 강원춘천센터,033-264-0009,강원 춘천시 석사동 904-14층 허그맘허그인 강원춘천점,https://www.hugmom.co.kr/chuncheon,,,0,강원,
허그맘·허그인 경기광주센터,031-8068-8275,"경기 광주시 중앙로 69-6 (역동, 더대광빌딩 2층)",https://www.hugmom.co.kr/gyeonggigwangju,37.40620292,127.2606782,1,경기,"전 연령층을 대상으로 종합 심리 상담 제공, 종합심리검사 및 지능검사 실시, VR 치료 기기 활용 가능."
허그맘·허그인 고양덕양센터,031-365-3366,경기 고양시 덕양구 원흥동 633-7 골든메디타워 2층경기도 고양시 덕양구 원흥3로 6-17,https://www.hugmom.co.kr/deokyangsamsong,37.6477375,126.8759048,1,경기,"2021년 개원 이후 다양한 기관과 협력하여 심리치료 및 프로그램 제공, ADHD 진단 및 치료 경험 풍부."
허그맘·허그인 과천센터,02-6956-7153,"경기도 과천시 별양로 28, 래미안슈르상가 A동 3층",https://www.hugmom.co.kr/gwacheon,37.4211855,126.9912426,1,경기,"다양한 심리 평가 및 상담 프로그램 제공, ADHD 치료 경험 및 협력 기관 다수 보유."
허그맘·허그인 관악센터,02-877-3007,서울 관악구 은천로 153 (봉천동)2층,https://www.hugmom.co.kr/gwanak,37.48645106,126.9524689,0,서울,
허그맘·허그인 광주광산수완센터,062-714-3450,광주 광산구 임방울대로 348 남궁빌딩 6층광주 광산구 수완동 1080 남궁빌딩 6층,https://www.hugmom.co.kr/gwangjusuwan,35.19107649,126.8243812,0,광주,
허그맘·허그인 광주무등센터,062-654-7799,"광주 남구 봉선중앙로 139 (주월동, 한일메디컬센터) 5층광주광역시 남구 주월동 1253-2, 5층",https://www.hugmom.co.kr/gwangjumudeung,35.13355903,126.9103512,0,광주,
허그맘·허그인 광주북구센터,062-529-5653,광주 북구 서강로54번길 28 (운암동) 2층광주광역시 북구 운암동 366-3 2층,https://www.hugmom.co.kr/gwangjubukgu,35.17593432,126.874012,0,광주,
허그맘·허그인 광주상무센터,062-373-6255,광주 서구 상무중앙로 24 엠씨타워 5층광주 서구 치평동 1254-1 엠씨타워 5층,https://www.hugmom.co.kr/gwangjusangmu,35.14891505,126.8488932,0,광주,
